Date,Open,High,Low,Close,Adj_Close,Volume
2020-01-07,9076639648,9091929688,9042549805,9068580078,9068580078,2352850000
2020-01-08,9068030273,9168889648,9059379883,9129240234,9129240234,2464090000
2020-01-09,9202269531,9215950195,9158500000,9203429688,9203429688,2534700000
2020-01-10,9232950195,9235200195,9164660156,9178860352,9178860352,2378990000
2020-01-13,9213719727,9274490234,9193059570,9273929688,9273929688,2530270000
2020-01-14,9270610352,9298330078,9226490234,9251330078,9251330078,2542170000
2020-01-15,9253759766,9298820313,9231139648,9258700195,9258700195,2435650000
2020-01-16,9313450195,9357919922,9301320313,9357129883,9357129883,2301400000
2020-01-17,9392370117,9393480469,9346809570,9388940430,9388940430,2522670000
2020-01-21,9361070313,9397580078,9350200195,9370809570,9370809570,2684540000
2020-01-22,9413610352,9439290039,9375129883,9383769531,9383769531,2449390000
2020-01-23,9377719727,9409200195,9334129883,9402480469,9402480469,2460050000
2020-01-24,9446209961,9451429688,9273230469,9314910156,9314910156,2611710000
2020-01-27,9092459961,9185450195,9088040039,9139309570,9139309570,2583330000
2020-01-28,9201820313,9288870117,9182330078,9269679688,9269679688,2157830000
2020-01-29,9318259766,9329120117,9249040039,9275160156,9275160156,2223480000
2020-01-30,9211150391,9303000000,9185179688,9298929688,9298929688,2333500000
2020-01-31,9324330078,9324799805,9123219727,9150940430,9150940430,2685840000
2020-02-03,9190719727,9299849609,9188549805,9273400391,9273400391,2420510000
2020-02-04,9398389648,9485379883,9374049805,9467969727,9467969727,2445420000
2020-02-05,9574099609,9574940430,9454929688,9508679688,9508679688,2462470000
2020-02-06,9540980469,9575660156,9505679688,9572150391,9572150391,2267300000
2020-02-07,9526639648,9570089844,9496530273,9520509766,9520509766,2238670000
2020-02-10,9493629883,9628660156,9493629883,9628389648,9628389648,2179310000
2020-02-11,9680889648,9714740234,9617209961,9638940430,9638940430,2423670000
2020-02-12,9688599609,9728769531,9666690430,9725959961,9725959961,2355000000
2020-02-13,9657040039,9748320313,9650019531,9711969727,9711969727,2239270000
